CV,Keyword,Keyword Frequency,Sentiment Score
CV 12,Leadership,2,0.508768114626598
CV 12,Innovation,7,0.6044631234190625
CV 12,Teamwork,10,1.0
CV 12,Communication,7,0.8809070528967585
CV 12,Problem Solving,4,0.9994670372728203
CV 13,Leadership,6,0.5380211638225916
CV 13,Innovation,10,0.6074639444471661
CV 13,Teamwork,7,1.0
CV 13,Communication,5,0.8619973077975801
CV 13,Problem Solving,0,0.9327697329283671
CV 14,Leadership,5,0.4958700184096845
CV 14,Innovation,9,0.5858595539305074
CV 14,Teamwork,10,0.9879532026134503
CV 14,Communication,7,0.912712141729799
CV 14,Problem Solving,0,0.9754370663535822
CV 15,Leadership,3,0.4977914383715689
CV 15,Innovation,8,0.6078992173980331
CV 15,Teamwork,7,1.0
CV 15,Communication,3,0.8296962486007952
CV 15,Problem Solving,1,0.9682194465327604
CV 16,Leadership,5,0.5092048719753227
CV 16,Innovation,7,0.580760030303997
CV 16,Teamwork,8,1.0
CV 16,Communication,5,0.8563343615626366
CV 16,Problem Solving,3,1.0
CV 17,Leadership,6,0.5236484096641343
CV 17,Innovation,7,0.5970892312034717
CV 17,Teamwork,10,1.0
CV 17,Communication,4,0.9064920637808765
CV 17,Problem Solving,3,0.9873881072038506
CV 18,Leadership,4,0.5042236388696298
CV 18,Innovation,10,0.5492445751784079
CV 18,Teamwork,7,0.972456623202949
CV 18,Communication,5,0.8744344030059038
CV 18,Problem Solving,1,1.0
CV 19,Leadership,6,0.5783604218680699
CV 19,Innovation,6,0.5826957328874962
CV 19,Teamwork,9,1.0
CV 19,Communication,4,0.8931241105477247
CV 19,Problem Solving,2,1.0
CV 20,Leadership,3,0.5440542005202235
CV 20,Innovation,7,0.6070815542723965
CV 20,Teamwork,9,1.0
CV 20,Communication,7,0.8347645385205841
CV 20,Problem Solving,1,0.9444521746185398
CV 21,Leadership,5,0.49558775687402373
CV 21,Innovation,8,0.5860146294576026
CV 21,Teamwork,11,0.997864406404617
CV 21,Communication,7,0.8301811514763531
CV 21,Problem Solving,0,0.9313860661031681
CV 22,Leadership,4,0.5855875799003228
CV 22,Innovation,10,0.5589904648754478
CV 22,Teamwork,10,1.0
CV 22,Communication,7,0.8411076720112945
CV 22,Problem Solving,3,0.9401866348398163
CV 23,Leadership,5,0.5369647857569864
CV 23,Innovation,9,0.5952854081904299
CV 23,Teamwork,10,1.0
CV 23,Communication,6,0.8231270577240752
CV 23,Problem Solving,3,0.9416354713027876
CV 24,Leadership,2,0.523071085329132
CV 24,Innovation,7,0.6383083676263811
CV 24,Teamwork,9,0.9579588547465799
CV 24,Communication,6,0.8968260877232548
CV 24,Problem Solving,1,0.9556080601964158
CV 25,Leadership,2,0.49531979327946746
CV 25,Innovation,10,0.6106943591077196
CV 25,Teamwork,7,0.9565393996750751
CV 25,Communication,5,0.9038634797601386
CV 25,Problem Solving,4,0.9748330928664499
CV 26,Leadership,2,0.5660810390416695
CV 26,Innovation,6,0.5557442596107883
CV 26,Teamwork,7,0.9714364732631627
CV 26,Communication,3,0.8552037914008535
CV 26,Problem Solving,1,1.0
CV 27,Leadership,2,0.5375738232185362
CV 27,Innovation,9,0.6012626812201287
CV 27,Teamwork,8,0.9772034565085249
CV 27,Communication,4,0.8421524381723483
CV 27,Problem Solving,2,0.9547635211056958
CV 28,Leadership,4,0.5211201151886665
CV 28,Innovation,8,0.5603274087283239
CV 28,Teamwork,8,1.0
CV 28,Communication,6,0.8441099769235542
CV 28,Problem Solving,1,0.9306692359350273
CV 29,Leadership,5,0.5576556176943069
CV 29,Innovation,9,0.6396412518528147
CV 29,Teamwork,10,0.9682787459676245
CV 29,Communication,5,0.8676652868042634
CV 29,Problem Solving,4,1.0
CV 30,Leadership,4,0.580211339580383
CV 30,Innovation,6,0.6227005488445012
CV 30,Teamwork,7,1.0
CV 30,Communication,7,0.8872067445242342
CV 30,Problem Solving,2,1.0
CV 31,Leadership,5,0.5447102801443507
CV 31,Innovation,9,0.6122991811235842
CV 31,Teamwork,11,1.0
CV 31,Communication,4,0.9118626595282979
CV 31,Problem Solving,0,0.9817287448434657
CV 32,Leadership,5,0.5204453808735954
CV 32,Innovation,9,0.6007959569239725
CV 32,Teamwork,8,1.0
CV 32,Communication,3,0.8328615493064768
CV 32,Problem Solving,3,0.9846004182006589
CV 33,Leadership,6,0.4985872866590425
CV 33,Innovation,6,0.6200386443775542
CV 33,Teamwork,11,0.9977274369484997
CV 33,Communication,6,0.8979042188724994
CV 33,Problem Solving,1,0.9498605953981782
CV 34,Leadership,2,0.5247893653192276
CV 34,Innovation,9,0.5817367930931514
CV 34,Teamwork,10,0.9678377940610298
CV 34,Communication,7,0.8254971584560946
CV 34,Problem Solving,4,0.9725270937110598
CV 35,Leadership,4,0.49048972166990723
CV 35,Innovation,9,0.6238068010996419
CV 35,Teamwork,11,0.9576826926295751
CV 35,Communication,6,0.8756999398561138
CV 35,Problem Solving,0,0.9486565282063274
CV 36,Leadership,2,0.4903766754942914
CV 36,Innovation,9,0.6001013521278764
CV 36,Teamwork,8,0.9516729298081962
CV 36,Communication,7,0.8545081719864001
CV 36,Problem Solving,0,0.9621111726849824
CV 37,Leadership,6,0.49209764611066814
CV 37,Innovation,7,0.5725923311373766
CV 37,Teamwork,8,0.9735541808583309
CV 37,Communication,7,0.8736516144478036
CV 37,Problem Solving,4,0.9486616586408623
CV 38,Leadership,4,0.5596777024972607
CV 38,Innovation,10,0.6108827869816316
CV 38,Teamwork,11,0.9635407751654789
CV 38,Communication,4,0.8906962727790154
CV 38,Problem Solving,1,0.9875136734091683
CV 39,Leadership,3,0.5042831950825761
CV 39,Innovation,8,0.6183272716768872
CV 39,Teamwork,11,0.9603808180786382
CV 39,Communication,5,0.9105167518950211
CV 39,Problem Solving,2,0.9715339360223096
CV 40,Leadership,5,0.5340107435608558
CV 40,Innovation,7,0.6071704503564661
CV 40,Teamwork,10,1.0
CV 40,Communication,6,0.8391362027012215
CV 40,Problem Solving,0,0.9925694824739247
CV 41,Leadership,2,0.5742535729576493
CV 41,Innovation,9,0.639348892464758
CV 41,Teamwork,7,0.9816666113297912
CV 41,Communication,7,0.912276339332544
CV 41,Problem Solving,0,0.9326213351326272
CV 42,Leadership,2,0.5160000584195431
CV 42,Innovation,9,0.618089489007945
CV 42,Teamwork,8,1.0
CV 42,Communication,6,0.8230553653479734
CV 42,Problem Solving,1,0.9546091891086416
CV 43,Leadership,5,0.552428946391506
CV 43,Innovation,7,0.5592346016534608
CV 43,Teamwork,8,0.9553257324015029
CV 43,Communication,3,0.9115799500818946
CV 43,Problem Solving,1,0.9678289694454076
CV 44,Leadership,4,0.49766653841205344
CV 44,Innovation,9,0.5563685510360857
CV 44,Teamwork,9,0.9609634029708796
CV 44,Communication,3,0.876151622746141
CV 44,Problem Solving,3,0.9891436612913409
CV 45,Leadership,4,0.5371353628775323
CV 45,Innovation,7,0.5448605937794441
CV 45,Teamwork,10,0.9938295580631136
CV 45,Communication,3,0.9141747269155536
CV 45,Problem Solving,4,1.0
CV 46,Leadership,6,0.4989773011540826
CV 46,Innovation,10,0.5420893412728194
CV 46,Teamwork,10,1.0
CV 46,Communication,7,0.859607793238508
CV 46,Problem Solving,2,0.98304521963903
CV 47,Leadership,5,0.5724820100726988
CV 47,Innovation,7,0.6207791685194886
CV 47,Teamwork,9,1.0
CV 47,Communication,7,0.8350610299950844
CV 47,Problem Solving,4,0.9536885318931452
CV 48,Leadership,6,0.4991287071036312
CV 48,Innovation,7,0.5549431381238222
CV 48,Teamwork,9,0.9625094759615679
CV 48,Communication,3,0.8212484094478747
CV 48,Problem Solving,2,1.0
CV 49,Leadership,5,0.5774159125898211
CV 49,Innovation,10,0.616938418098679
CV 49,Teamwork,8,0.9699459729233754
CV 49,Communication,6,0.8403850855360702
CV 49,Problem Solving,0,0.9787554918816235
CV 50,Leadership,2,0.5629018293352964
CV 50,Innovation,10,0.611552445863547
CV 50,Teamwork,7,0.9817636341410728
CV 50,Communication,5,0.8293754554526572
CV 50,Problem Solving,3,0.9741884846420499
CV 51,Leadership,4,0.5757198237985932
CV 51,Innovation,9,0.5660829045952249
CV 51,Teamwork,8,1.0
CV 51,Communication,6,0.8964678025644784
CV 51,Problem Solving,3,1.0
CV 52,Leadership,2,0.49318939303069737
CV 52,Innovation,9,0.6236927922275569
CV 52,Teamwork,7,1.0
CV 52,Communication,7,0.8593472320107315
CV 52,Problem Solving,2,0.9788188199026056
CV 53,Leadership,3,0.5035760799686377
CV 53,Innovation,7,0.5999458130671776
CV 53,Teamwork,8,1.0
CV 53,Communication,5,0.84035026319573
CV 53,Problem Solving,3,0.9460071614056957
CV 54,Leadership,3,0.555205460699496
CV 54,Innovation,10,0.6146838239145787
CV 54,Teamwork,11,0.9645583119595761
CV 54,Communication,4,0.9022743046336159
CV 54,Problem Solving,2,0.9548743120916069
CV 55,Leadership,2,0.5629699830747443
CV 55,Innovation,9,0.5565696198309021
CV 55,Teamwork,7,0.9831063795969972
CV 55,Communication,4,0.8947741948150446
CV 55,Problem Solving,4,0.9949036455823466
CV 56,Leadership,4,0.498850956689798
CV 56,Innovation,6,0.602181304742377
CV 56,Teamwork,10,1.0
CV 56,Communication,3,0.9080210520507925
CV 56,Problem Solving,1,0.9690428982336469
CV 57,Leadership,6,0.5063473196389106
CV 57,Innovation,6,0.5903113806460974
CV 57,Teamwork,10,1.0
CV 57,Communication,5,0.8238083155838546
CV 57,Problem Solving,4,0.9981812090876021
CV 58,Leadership,3,0.5375697909567725
CV 58,Innovation,8,0.563795843641359
CV 58,Teamwork,10,0.954521909821962
CV 58,Communication,5,0.8702275624379735
CV 58,Problem Solving,0,1.0
CV 59,Leadership,5,0.5609775391244544
CV 59,Innovation,6,0.5928007245512655
CV 59,Teamwork,7,1.0
CV 59,Communication,3,0.9010693162072674
CV 59,Problem Solving,0,0.9460060505269722
CV 60,Leadership,2,0.527389266707331
CV 60,Innovation,8,0.546634399683597
CV 60,Teamwork,8,1.0
CV 60,Communication,7,0.8648534203738597
CV 60,Problem Solving,1,1.0
CV 61,Leadership,4,0.5532438413459196
CV 61,Innovation,8,0.5726115365908504
CV 61,Teamwork,8,0.9799641919017315
CV 61,Communication,3,0.9060233177827074
CV 61,Problem Solving,4,0.9886761427540894
CV 62,Leadership,6,0.5710753310102149
CV 62,Innovation,10,0.612301689501321
CV 62,Teamwork,9,1.0
CV 62,Communication,3,0.8476523257018296
CV 62,Problem Solving,0,0.9771219246512709
CV 63,Leadership,4,0.5728644724154699
CV 63,Innovation,7,0.5610171429206389
CV 63,Teamwork,10,1.0
CV 63,Communication,5,0.8914149357609169
CV 63,Problem Solving,4,0.9410145532932958
CV 64,Leadership,3,0.5300227553646975
CV 64,Innovation,8,0.5749558719336542
CV 64,Teamwork,7,1.0
CV 64,Communication,6,0.8304301215135185
CV 64,Problem Solving,2,0.9444233199044368
CV 65,Leadership,5,0.5335118479737412
CV 65,Innovation,9,0.574984554090899
CV 65,Teamwork,8,1.0
CV 65,Communication,5,0.8558715474139817
CV 65,Problem Solving,2,0.9925945630416557
CV 66,Leadership,3,0.5471315599946448
CV 66,Innovation,9,0.5539635546956048
CV 66,Teamwork,10,0.9824621708590874
CV 66,Communication,6,0.8318483273675278
CV 66,Problem Solving,0,0.9721662376407298
CV 67,Leadership,3,0.5525470269004727
CV 67,Innovation,7,0.5555036014115401
CV 67,Teamwork,8,1.0
CV 67,Communication,7,0.9078291668780709
CV 67,Problem Solving,3,0.9937816921277898
CV 68,Leadership,2,0.5293831343554166
CV 68,Innovation,7,0.5462582037059149
CV 68,Teamwork,7,0.9858745223797332
CV 68,Communication,6,0.8826276493777354
CV 68,Problem Solving,1,1.0
CV 69,Leadership,2,0.5352867616722198
CV 69,Innovation,10,0.5538630186133887
CV 69,Teamwork,9,1.0
CV 69,Communication,7,0.8900838576169607
CV 69,Problem Solving,1,0.9566898150850206
CV 70,Leadership,2,0.4935327385190036
CV 70,Innovation,10,0.5601795313216368
CV 70,Teamwork,10,0.9937774092888296
CV 70,Communication,7,0.8911158544886396
CV 70,Problem Solving,1,0.9768145233997912
CV 71,Leadership,5,0.5088912277398114
CV 71,Innovation,10,0.5539360770918363
CV 71,Teamwork,7,1.0
CV 71,Communication,6,0.8773603603123598
CV 71,Problem Solving,4,0.9768896893194768
CV 72,Leadership,6,0.5022073214687478
CV 72,Innovation,8,0.6130280976118435
CV 72,Teamwork,11,0.9626753137131707
CV 72,Communication,3,0.8834855190095952
CV 72,Problem Solving,1,1.0
CV 73,Leadership,6,0.5469967739436764
CV 73,Innovation,8,0.6216995944089297
CV 73,Teamwork,8,0.9804157553937872
CV 73,Communication,7,0.910166293344761
CV 73,Problem Solving,2,0.9822803320543747
CV 74,Leadership,2,0.5701574392577651
CV 74,Innovation,9,0.6067450045397919
CV 74,Teamwork,8,1.0
CV 74,Communication,6,0.8587767583193668
CV 74,Problem Solving,1,0.9429985751569259
CV 75,Leadership,3,0.4909699405737937
CV 75,Innovation,6,0.5467713831770581
CV 75,Teamwork,7,1.0
CV 75,Communication,6,0.8442505248080318
CV 75,Problem Solving,4,0.9617539656210969
CV 76,Leadership,6,0.5200424423267462
CV 76,Innovation,9,0.5588717645788532
CV 76,Teamwork,8,0.988343529396855
CV 76,Communication,4,0.8571090251745306
CV 76,Problem Solving,2,0.9796661296165221
CV 77,Leadership,5,0.5246449881965464
CV 77,Innovation,10,0.6202862842242791
CV 77,Teamwork,8,0.9734075458055733
CV 77,Communication,6,0.9141762979833407
CV 77,Problem Solving,0,0.9979221267328866
CV 78,Leadership,4,0.5194274397963113
CV 78,Innovation,7,0.5464973832685274
CV 78,Teamwork,9,1.0
CV 78,Communication,4,0.8427094962593662
CV 78,Problem Solving,4,1.0
CV 79,Leadership,5,0.5665321905479437
CV 79,Innovation,9,0.5645435619107767
CV 79,Teamwork,11,1.0
CV 79,Communication,3,0.8848348431292647
CV 79,Problem Solving,3,0.9982270360974036
CV 80,Leadership,2,0.5452532977851757
CV 80,Innovation,8,0.6339318773887975
CV 80,Teamwork,7,1.0
CV 80,Communication,7,0.8649881061917802
CV 80,Problem Solving,2,0.9929822588164323
CV 81,Leadership,3,0.498859545352845
CV 81,Innovation,7,0.6241559955107964
CV 81,Teamwork,10,1.0
CV 81,Communication,7,0.8435817563241788
CV 81,Problem Solving,4,1.0
CV 82,Leadership,2,0.5031325284699247
CV 82,Innovation,10,0.6293235534203874
CV 82,Teamwork,11,0.9612144896393169
CV 82,Communication,4,0.8469362747037421
CV 82,Problem Solving,4,0.9308205986905743
CV 83,Leadership,3,0.5256853146705802
CV 83,Innovation,10,0.6351539796395229
CV 83,Teamwork,8,1.0
CV 83,Communication,4,0.8916606882585077
CV 83,Problem Solving,2,1.0
CV 84,Leadership,6,0.5729631801754633
CV 84,Innovation,6,0.5483514066993663
CV 84,Teamwork,10,0.9876783397324616
CV 84,Communication,6,0.864149151445592
CV 84,Problem Solving,0,0.949695927696513
CV 85,Leadership,3,0.5021294326720281
CV 85,Innovation,9,0.6300992836268495
CV 85,Teamwork,8,1.0
CV 85,Communication,5,0.8412595761509325
CV 85,Problem Solving,0,0.9508823103437515
CV 86,Leadership,4,0.5095666313973831
CV 86,Innovation,6,0.6334983671347983
CV 86,Teamwork,7,0.9923598667980705
CV 86,Communication,4,0.8412447041604108
CV 86,Problem Solving,2,0.9920197126397478
CV 87,Leadership,4,0.5155969610230607
CV 87,Innovation,7,0.6063383005399607
CV 87,Teamwork,11,1.0
CV 87,Communication,5,0.9104669365467396
CV 87,Problem Solving,0,0.968214332388024
CV 88,Leadership,2,0.5567325278345591
CV 88,Innovation,8,0.5665485105298979
CV 88,Teamwork,8,1.0
CV 88,Communication,4,0.8319463857072019
CV 88,Problem Solving,1,0.9750301193936669
CV 89,Leadership,2,0.4970222807700589
CV 89,Innovation,8,0.5445717901636707
CV 89,Teamwork,8,1.0
CV 89,Communication,7,0.8364539692749347
CV 89,Problem Solving,1,1.0
CV 90,Leadership,6,0.5400242032067912
CV 90,Innovation,9,0.6143719706076506
CV 90,Teamwork,9,1.0
CV 90,Communication,7,0.8266317113580931
CV 90,Problem Solving,3,0.9982706669232357
CV 91,Leadership,2,0.5129728327436759
CV 91,Innovation,9,0.5950879405235869
CV 91,Teamwork,9,1.0
CV 91,Communication,6,0.8247784118273921
CV 91,Problem Solving,3,1.0
CV 92,Leadership,3,0.5707926596532593
CV 92,Innovation,7,0.5599716332067572
CV 92,Teamwork,8,0.9770786597485971
CV 92,Communication,7,0.866093148937388
CV 92,Problem Solving,2,1.0
CV 93,Leadership,2,0.5672106834256374
CV 93,Innovation,9,0.57915563054509
CV 93,Teamwork,10,1.0
CV 93,Communication,3,0.8363952141715504
CV 93,Problem Solving,2,1.0
CV 94,Leadership,4,0.5660531424919877
CV 94,Innovation,6,0.6202496366073683
CV 94,Teamwork,8,0.9602007754086381
CV 94,Communication,4,0.8831319333414779
CV 94,Problem Solving,4,0.9626678911443067
CV 95,Leadership,5,0.5684347469457972
CV 95,Innovation,10,0.5576448871711012
CV 95,Teamwork,7,0.9832102232636426
CV 95,Communication,5,0.8294123753836712
CV 95,Problem Solving,2,1.0
CV 96,Leadership,4,0.5320181319454274
CV 96,Innovation,10,0.575220921870911
CV 96,Teamwork,8,0.9623284547548656
CV 96,Communication,3,0.8425289741306711
CV 96,Problem Solving,4,1.0
CV 97,Leadership,6,0.49332719400332226
CV 97,Innovation,10,0.6229113381745027
CV 97,Teamwork,10,0.9778094223432747
CV 97,Communication,5,0.8228667260440331
CV 97,Problem Solving,0,0.9942780744654454
CV 98,Leadership,4,0.5898327570230419
CV 98,Innovation,10,0.5908582920176539
CV 98,Teamwork,10,1.0
CV 98,Communication,6,0.8768098715111187
CV 98,Problem Solving,1,0.981849245630412
CV 99,Leadership,5,0.5512518613743231
CV 99,Innovation,10,0.5544394330256275
CV 99,Teamwork,8,1.0
CV 99,Communication,6,0.8893758373754508
CV 99,Problem Solving,2,0.9690191907061515
CV 100,Leadership,2,0.4965610581609487
CV 100,Innovation,6,0.5747685300564805
CV 100,Teamwork,11,0.9627598456379995
CV 100,Communication,4,0.8392251700812259
CV 100,Problem Solving,1,0.9540812205734003
CV 101,Leadership,5,0.5127343720458776
CV 101,Innovation,6,0.6290347844398629
CV 101,Teamwork,9,1.0
CV 101,Communication,7,0.9036995278612899
CV 101,Problem Solving,1,0.9562263851216533
CV 102,Leadership,3,0.5613141975613896
CV 102,Innovation,6,0.636350183423394
CV 102,Teamwork,9,1.0
CV 102,Communication,6,0.8548262098030686
CV 102,Problem Solving,0,1.0
CV 103,Leadership,2,0.5149141463172281
CV 103,Innovation,6,0.6185259367174538
CV 103,Teamwork,7,0.9634537632930222
CV 103,Communication,7,0.8917697297875313
CV 103,Problem Solving,1,0.9740579753631999
CV 104,Leadership,3,0.5266298447368907
CV 104,Innovation,6,0.560632047699107
CV 104,Teamwork,9,1.0
CV 104,Communication,3,0.8519964428559634
CV 104,Problem Solving,2,0.9906880327051907
CV 105,Leadership,5,0.5631144065117927
CV 105,Innovation,9,0.5987066543155519
CV 105,Teamwork,7,1.0
CV 105,Communication,4,0.825141679339729
CV 105,Problem Solving,4,0.9317556259216437
CV 106,Leadership,3,0.5706287281046573
CV 106,Innovation,7,0.5528752527245274
CV 106,Teamwork,11,0.968537092285171
CV 106,Communication,6,0.8937795705298638
CV 106,Problem Solving,1,0.9329360455337039
CV 107,Leadership,3,0.5703127874964615
CV 107,Innovation,6,0.6393451049769729
CV 107,Teamwork,10,0.9592197439870519
CV 107,Communication,3,0.8354147035201143
CV 107,Problem Solving,4,0.9898131192588819
CV 108,Leadership,4,0.520580199119077
CV 108,Innovation,7,0.5964490763247366
CV 108,Teamwork,11,0.9884929259248392
CV 108,Communication,6,0.9092482021058427
CV 108,Problem Solving,1,1.0
CV 109,Leadership,3,0.5542349894975217
CV 109,Innovation,10,0.5780682463387511
CV 109,Teamwork,7,0.9630053687288246
CV 109,Communication,3,0.8900991044819557
CV 109,Problem Solving,3,1.0
CV 110,Leadership,4,0.5457923966061
CV 110,Innovation,8,0.6236075374450032
CV 110,Teamwork,7,1.0
CV 110,Communication,4,0.8544462257525949
CV 110,Problem Solving,4,0.9505003322644493
CV 111,Leadership,5,0.5752468852963695
CV 111,Innovation,9,0.5671703816680913
CV 111,Teamwork,7,1.0
CV 111,Communication,5,0.8579666520852265
CV 111,Problem Solving,3,0.9702096743103734
CV 112,Leadership,2,0.5110133186927284
CV 112,Innovation,6,0.5891411540280149
CV 112,Teamwork,8,0.9937541651088813
CV 112,Communication,3,0.8379211825437498
CV 112,Problem Solving,1,1.0
CV 113,Leadership,2,0.5291919341084097
CV 113,Innovation,8,0.5644555023297249
CV 113,Teamwork,9,0.9789942141757605
CV 113,Communication,3,0.8574257333633224
CV 113,Problem Solving,0,0.9861034878086039
CV 114,Leadership,2,0.5813020603722556
CV 114,Innovation,6,0.6305319320455343
CV 114,Teamwork,8,0.9719874886611303
CV 114,Communication,3,0.8933146569743087
CV 114,Problem Solving,0,0.9962418878835013
CV 115,Leadership,6,0.5069515491355292
CV 115,Innovation,7,0.5754426479084322
CV 115,Teamwork,7,0.9993775119791154
CV 115,Communication,4,0.8524516056631
CV 115,Problem Solving,4,0.9478073050339197
CV 116,Leadership,6,0.4942757189848014
CV 116,Innovation,7,0.5686536419141762
CV 116,Teamwork,10,1.0
CV 116,Communication,4,0.9166812539438258
CV 116,Problem Solving,3,1.0
CV 117,Leadership,5,0.5452517982597299
CV 117,Innovation,6,0.6085438732943823
CV 117,Teamwork,7,1.0
CV 117,Communication,6,0.893529024731081
CV 117,Problem Solving,3,0.9778682574641704
CV 118,Leadership,3,0.5520094768477503
CV 118,Innovation,6,0.6056109181684121
CV 118,Teamwork,8,0.9970903294700761
CV 118,Communication,6,0.8361530933889222
CV 118,Problem Solving,1,1.0
CV 119,Leadership,5,0.5851542499170446
CV 119,Innovation,6,0.6070506092059325
CV 119,Teamwork,7,0.9883837040565137
CV 119,Communication,4,0.8621022869912736
CV 119,Problem Solving,2,1.0
CV 120,Leadership,3,0.54157327301466
CV 120,Innovation,9,0.592278825052611
CV 120,Teamwork,9,1.0
CV 120,Communication,7,0.889203424177506
CV 120,Problem Solving,0,1.0
CV 121,Leadership,4,0.5512385296198695
CV 121,Innovation,7,0.5635613486494614
CV 121,Teamwork,11,0.9803092281130141
CV 121,Communication,4,0.8803944020252651
CV 121,Problem Solving,1,1.0
CV 122,Leadership,6,0.5538829635912628
CV 122,Innovation,10,0.5922210380834109
CV 122,Teamwork,10,0.9545082331553209
CV 122,Communication,6,0.8601038714872156
CV 122,Problem Solving,0,1.0
CV 123,Leadership,2,0.5155325203731833
CV 123,Innovation,6,0.6370584466319095
CV 123,Teamwork,8,0.9605258327117332
CV 123,Communication,5,0.9097696479969429
CV 123,Problem Solving,4,0.9368988506248079
CV 124,Leadership,4,0.5870555397327685
CV 124,Innovation,6,0.5810058005461233
CV 124,Teamwork,8,0.9629916894576102
CV 124,Communication,7,0.890443005099263
CV 124,Problem Solving,4,0.9385291169138468
CV 125,Leadership,2,0.5145344462177698
CV 125,Innovation,6,0.5530823450658506
CV 125,Teamwork,9,1.0
CV 125,Communication,5,0.8637618865211619
CV 125,Problem Solving,0,0.9330340347216138
CV 126,Leadership,4,0.5800990019518152
CV 126,Innovation,8,0.5414292687287454
CV 126,Teamwork,7,1.0
CV 126,Communication,6,0.8878843989074808
CV 126,Problem Solving,4,0.9422560633437325
CV 127,Leadership,2,0.5802189375475438
CV 127,Innovation,6,0.5509617061330515
CV 127,Teamwork,7,1.0
CV 127,Communication,5,0.8868670840356008
CV 127,Problem Solving,3,0.9885606540852335
CV 128,Leadership,4,0.5220738590549878
CV 128,Innovation,8,0.5511320501989445
CV 128,Teamwork,7,1.0
CV 128,Communication,4,0.8969977743220178
CV 128,Problem Solving,1,0.979182083790745
CV 129,Leadership,2,0.49035563400383364
CV 129,Innovation,10,0.6332837253168581
CV 129,Teamwork,7,0.9563893126487973
CV 129,Communication,5,0.824555288223888
CV 129,Problem Solving,4,0.972064726521775
CV 130,Leadership,5,0.5364869296485846
CV 130,Innovation,9,0.6345105374385265
CV 130,Teamwork,11,1.0
CV 130,Communication,6,0.8571454985637265
CV 130,Problem Solving,1,0.9810566137898062
CV 131,Leadership,4,0.4908410406442431
CV 131,Innovation,10,0.6380441477668374
CV 131,Teamwork,10,1.0
CV 131,Communication,6,0.8991339141482758
CV 131,Problem Solving,4,0.9464032328553726
CV 132,Leadership,4,0.5698004278396916
CV 132,Innovation,9,0.6286171308347904
CV 132,Teamwork,8,1.0
CV 132,Communication,5,0.8537666540356746
CV 132,Problem Solving,0,0.9450362655025507
CV 133,Leadership,4,0.5165377689993599
CV 133,Innovation,6,0.5842413604400483
CV 133,Teamwork,7,0.9966381586226087
CV 133,Communication,7,0.9126762782676838
CV 133,Problem Solving,1,0.9849952814717589
CV 134,Leadership,3,0.5784659375039665
CV 134,Innovation,8,0.5606024934319795
CV 134,Teamwork,10,1.0
CV 134,Communication,3,0.8599209176288715
CV 134,Problem Solving,0,0.9820773831463916
CV 135,Leadership,4,0.5336365825561785
CV 135,Innovation,6,0.5663419793215195
CV 135,Teamwork,11,0.9773026492686752
CV 135,Communication,6,0.871520803189747
CV 135,Problem Solving,3,0.9318975241886693
CV 136,Leadership,4,0.5256240093638771
CV 136,Innovation,10,0.614631958488511
CV 136,Teamwork,9,1.0
CV 136,Communication,4,0.9199548222894309
