CV,Keyword,Keyword Frequency,Sentiment Score
CV 40,Communication,3,0.53
CV 40,Problem Solving,6,0.71
CV 41,Leadership,6,0.99
CV 41,Innovation,10,0.91
CV 41,Teamwork,7,0.58
CV 41,Communication,4,0.42
CV 41,Problem Solving,4,0.46
CV 42,Leadership,3,0.7
CV 42,Innovation,4,0.75
CV 42,Teamwork,3,0.95
CV 42,Communication,10,0.56
CV 42,Problem Solving,3,0.82
CV 43,Leadership,2,0.65
CV 43,Innovation,1,0.67
CV 43,Teamwork,7,0.99
CV 43,Communication,3,0.54
CV 43,Problem Solving,7,0.54
CV 44,Leadership,5,0.66
CV 44,Innovation,7,0.98
CV 44,Teamwork,4,0.53
CV 44,Communication,7,0.79
CV 44,Problem Solving,1,0.69
CV 45,Leadership,2,0.69
CV 45,Innovation,4,0.91
CV 45,Teamwork,3,0.55
CV 45,Communication,1,0.46
CV 45,Problem Solving,9,0.48
CV 46,Leadership,6,0.48
CV 46,Innovation,6,0.68
CV 46,Teamwork,3,0.82
CV 46,Communication,5,0.83
CV 46,Problem Solving,1,0.42
CV 47,Leadership,7,0.75
CV 47,Innovation,8,0.76
CV 47,Teamwork,8,0.84
CV 47,Communication,10,0.72
CV 47,Problem Solving,1,0.77
CV 48,Leadership,3,0.94
CV 48,Innovation,6,0.83
CV 48,Teamwork,1,0.71
CV 48,Communication,3,0.69
CV 48,Problem Solving,9,0.95
CV 49,Leadership,8,0.84
CV 49,Innovation,7,0.68
CV 49,Teamwork,8,0.71
CV 49,Communication,9,0.92
CV 49,Problem Solving,1,0.76
CV 50,Leadership,8,0.8
CV 50,Innovation,1,0.69
CV 50,Teamwork,5,0.63
CV 50,Communication,2,0.6
CV 50,Problem Solving,8,0.94
CV 51,Leadership,4,0.91
CV 51,Innovation,4,0.68
CV 51,Teamwork,6,0.58
CV 51,Communication,2,0.8
CV 51,Problem Solving,9,0.78
CV 52,Leadership,8,0.45
CV 52,Innovation,6,0.49
CV 52,Teamwork,9,0.57
CV 52,Communication,7,0.47
CV 52,Problem Solving,8,0.6
CV 53,Leadership,7,0.74
CV 53,Innovation,9,0.87
CV 53,Teamwork,5,0.74
CV 53,Communication,6,0.71
CV 53,Problem Solving,2,0.92
CV 54,Leadership,10,0.78
CV 54,Innovation,4,0.57
CV 54,Teamwork,3,0.93
CV 54,Communication,2,0.57
CV 54,Problem Solving,9,0.88
CV 55,Leadership,4,0.44
CV 55,Innovation,9,0.61
CV 55,Teamwork,7,0.93
CV 55,Communication,2,0.47
CV 55,Problem Solving,5,0.57
CV 56,Leadership,1,0.81
CV 56,Innovation,4,0.76
CV 56,Teamwork,8,0.59
CV 56,Communication,3,0.93
CV 56,Problem Solving,10,0.9
CV 57,Leadership,1,0.44
CV 57,Innovation,2,0.59
CV 57,Teamwork,7,0.76
CV 57,Communication,6,0.97
CV 57,Problem Solving,3,0.95
CV 58,Leadership,3,0.86
CV 58,Innovation,8,0.97
CV 58,Teamwork,5,0.52
CV 58,Communication,6,0.8
CV 58,Problem Solving,9,0.74
CV 59,Leadership,9,0.51
CV 59,Innovation,1,0.46
CV 59,Teamwork,5,0.99
CV 59,Communication,10,0.52
CV 59,Problem Solving,8,0.94
CV 60,Leadership,6,0.67
CV 60,Innovation,5,0.69
CV 60,Teamwork,10,0.6
CV 60,Communication,10,0.62
CV 60,Problem Solving,8,0.71
CV 61,Leadership,3,0.99
CV 61,Innovation,9,0.53
CV 61,Teamwork,1,0.94
CV 61,Communication,6,0.56
CV 61,Problem Solving,6,0.79
CV 62,Leadership,3,0.84
CV 62,Innovation,4,0.57
CV 62,Teamwork,8,0.4
CV 62,Communication,9,0.46
CV 62,Problem Solving,9,0.68
CV 63,Leadership,10,0.58
CV 63,Innovation,7,0.62
CV 63,Teamwork,9,0.41
CV 63,Communication,1,0.71
CV 63,Problem Solving,4,0.74
CV 64,Leadership,9,0.44
CV 64,Innovation,1,0.69
CV 64,Teamwork,3,0.43
CV 64,Communication,7,0.83
CV 64,Problem Solving,8,0.69
CV 65,Leadership,3,0.88
CV 65,Innovation,3,0.78
CV 65,Teamwork,6,0.98
CV 65,Communication,7,0.6
CV 65,Problem Solving,6,0.78
CV 66,Leadership,4,0.46
CV 66,Innovation,9,0.69
CV 66,Teamwork,1,0.87
CV 66,Communication,8,0.65
CV 66,Problem Solving,1,0.77
CV 67,Leadership,8,0.41
CV 67,Innovation,5,0.6
CV 67,Teamwork,9,0.73
CV 67,Communication,9,0.6
CV 67,Problem Solving,8,0.7
CV 68,Leadership,8,0.52
CV 68,Innovation,7,0.41
CV 68,Teamwork,8,0.9
CV 68,Communication,10,0.98
CV 68,Problem Solving,5,0.87
CV 69,Leadership,5,0.91
CV 69,Innovation,5,1.0
CV 69,Teamwork,9,0.76
CV 69,Communication,8,0.78
CV 69,Problem Solving,6,0.49
CV 70,Leadership,5,0.61
CV 70,Innovation,5,0.4
CV 70,Teamwork,3,0.5
CV 70,Communication,7,0.98
CV 70,Problem Solving,6,0.53
CV 71,Leadership,7,0.93
CV 71,Innovation,5,0.75
CV 71,Teamwork,9,0.9
CV 71,Communication,3,0.75
CV 71,Problem Solving,8,0.54
CV 72,Leadership,5,0.94
CV 72,Innovation,10,0.61
CV 72,Teamwork,1,0.71
CV 72,Communication,6,0.59
CV 72,Problem Solving,1,0.61
CV 73,Leadership,3,0.62
CV 73,Innovation,10,0.81
CV 73,Teamwork,2,0.67
CV 73,Communication,3,0.6
CV 73,Problem Solving,9,0.84
CV 74,Leadership,3,0.75
CV 74,Innovation,4,0.45
CV 74,Teamwork,7,0.82
CV 74,Communication,1,0.41
CV 74,Problem Solving,6,0.54
CV 75,Leadership,1,0.77
CV 75,Innovation,10,0.92
CV 75,Teamwork,7,0.78
CV 75,Communication,7,0.41
CV 75,Problem Solving,9,0.76
CV 76,Leadership,6,0.94
CV 76,Innovation,8,0.53
CV 76,Teamwork,8,0.96
CV 76,Communication,7,0.99
CV 76,Problem Solving,1,0.59
CV 77,Leadership,10,0.77
CV 77,Innovation,3,0.59
CV 77,Teamwork,2,0.56
CV 77,Communication,6,0.81
CV 77,Problem Solving,6,0.42
CV 78,Leadership,7,0.49
CV 78,Innovation,6,0.47
CV 78,Teamwork,8,0.58
CV 78,Communication,7,0.67
CV 78,Problem Solving,2,0.62
CV 79,Leadership,4,0.99
CV 79,Innovation,9,0.59
CV 79,Teamwork,2,0.63
CV 79,Communication,6,0.41
CV 79,Problem Solving,10,0.58
CV 80,Leadership,1,0.55
CV 80,Innovation,2,0.43
CV 80,Teamwork,9,0.86
CV 80,Communication,9,0.76
CV 80,Problem Solving,10,0.77
CV 81,Leadership,9,0.76
CV 81,Innovation,5,0.5
CV 81,Teamwork,5,0.72
CV 81,Communication,1,0.55
CV 81,Problem Solving,2,0.65
CV 82,Leadership,6,0.86
CV 82,Innovation,7,0.96
CV 82,Teamwork,10,0.88
CV 82,Communication,8,0.85
CV 82,Problem Solving,7,0.89
CV 83,Leadership,8,0.66
CV 83,Innovation,10,0.59
CV 83,Teamwork,6,0.4
CV 83,Communication,6,0.87
CV 83,Problem Solving,9,0.77
CV 84,Leadership,4,0.5
CV 84,Innovation,9,0.62
CV 84,Teamwork,5,0.42
CV 84,Communication,9,0.78
CV 84,Problem Solving,10,0.52
CV 85,Leadership,2,0.6
CV 85,Innovation,10,0.51
CV 85,Teamwork,1,0.96
CV 85,Communication,10,0.72
CV 85,Problem Solving,9,0.58
CV 86,Leadership,2,0.88
CV 86,Innovation,7,0.55
CV 86,Teamwork,8,0.98
CV 86,Communication,10,0.93
CV 86,Problem Solving,2,0.86
CV 87,Leadership,3,0.48
CV 87,Innovation,9,0.78
CV 87,Teamwork,9,0.68
CV 87,Communication,4,0.81
CV 87,Problem Solving,4,0.97
CV 88,Leadership,2,0.77
CV 88,Innovation,2,1.0
CV 88,Teamwork,4,0.77
CV 88,Communication,3,0.72
CV 88,Problem Solving,5,0.64
CV 89,Leadership,6,0.74
CV 89,Innovation,10,0.51
CV 89,Teamwork,10,0.47
CV 89,Communication,7,0.48
CV 89,Problem Solving,2,0.58
CV 90,Leadership,10,0.46
CV 90,Innovation,6,0.78
CV 90,Teamwork,2,0.81
CV 90,Communication,8,0.81
CV 90,Problem Solving,1,0.7
CV 91,Leadership,10,0.54
CV 91,Innovation,9,0.43
CV 91,Teamwork,6,0.57
CV 91,Communication,1,0.51
CV 91,Problem Solving,9,0.96
CV 92,Leadership,4,0.71
CV 92,Innovation,2,0.85
CV 92,Teamwork,6,0.41
CV 92,Communication,3,0.48
CV 92,Problem Solving,10,0.49
CV 93,Leadership,3,0.95
CV 93,Innovation,4,0.81
CV 93,Teamwork,4,0.59
CV 93,Communication,6,0.98
CV 93,Problem Solving,5,0.51
CV 94,Leadership,1,0.48
CV 94,Innovation,5,0.93
CV 94,Teamwork,9,0.93
CV 94,Communication,1,0.95
CV 94,Problem Solving,2,0.71
CV 95,Leadership,7,0.46
CV 95,Innovation,8,0.43
CV 95,Teamwork,2,0.72
CV 95,Communication,4,0.62
CV 95,Problem Solving,4,0.86
CV 96,Leadership,4,0.46
CV 96,Innovation,4,0.99
CV 96,Teamwork,8,0.6
CV 96,Communication,7,0.77
CV 96,Problem Solving,9,0.66
CV 97,Leadership,7,0.48
CV 97,Innovation,4,0.82
CV 97,Teamwork,1,0.92
CV 97,Communication,4,0.84
CV 97,Problem Solving,2,0.92
CV 98,Leadership,9,0.73
CV 98,Innovation,4,0.53
CV 98,Teamwork,10,0.67
CV 98,Communication,2,0.94
CV 98,Problem Solving,4,0.71
CV 99,Leadership,9,0.48
CV 99,Innovation,8,0.73
CV 99,Teamwork,2,0.92
CV 99,Communication,10,0.59
CV 99,Problem Solving,9,0.45
CV 100,Leadership,9,0.47
CV 100,Innovation,10,0.68
CV 100,Teamwork,8,0.43
CV 100,Communication,7,0.54
CV 100,Problem Solving,7,0.82
CV 101,Leadership,5,0.81
CV 101,Innovation,3,0.74
CV 101,Teamwork,7,0.98
CV 101,Communication,4,0.99
CV 101,Problem Solving,3,0.98
CV 102,Leadership,10,0.45
CV 102,Innovation,2,0.89
CV 102,Teamwork,5,0.73
CV 102,Communication,10,0.41
CV 102,Problem Solving,4,0.95
CV 103,Leadership,1,0.61
CV 103,Innovation,9,0.86
CV 103,Teamwork,7,1.0
CV 103,Communication,10,0.83
CV 103,Problem Solving,10,0.49
CV 104,Leadership,3,0.41
CV 104,Innovation,6,0.62
CV 104,Teamwork,8,0.48
CV 104,Communication,5,0.46
CV 104,Problem Solving,3,0.64
CV 105,Leadership,8,0.95
CV 105,Innovation,8,0.8
CV 105,Teamwork,4,0.68
CV 105,Communication,3,0.4
CV 105,Problem Solving,7,0.46
CV 106,Leadership,6,0.53
CV 106,Innovation,3,0.42
CV 106,Teamwork,10,0.76
CV 106,Communication,6,0.65
CV 106,Problem Solving,5,0.75
CV 107,Leadership,10,0.93
CV 107,Innovation,1,0.94
CV 107,Teamwork,8,0.43
CV 107,Communication,1,0.87
CV 107,Problem Solving,3,0.48
CV 108,Leadership,7,0.8
CV 108,Innovation,1,0.66
CV 108,Teamwork,10,0.55
CV 108,Communication,6,0.87
CV 108,Problem Solving,3,0.61
CV 109,Leadership,4,0.61
CV 109,Innovation,2,0.92
CV 109,Teamwork,4,0.98
CV 109,Communication,3,0.42
CV 109,Problem Solving,8,0.42
CV 110,Leadership,10,0.52
CV 110,Innovation,9,0.91
CV 110,Teamwork,9,0.75
CV 110,Communication,3,0.71
CV 110,Problem Solving,10,0.41
CV 111,Leadership,9,0.63
CV 111,Innovation,3,0.45
CV 111,Teamwork,6,0.75
CV 111,Communication,5,0.68
CV 111,Problem Solving,10,0.55
CV 112,Leadership,8,0.75
CV 112,Innovation,3,0.7
CV 112,Teamwork,6,0.51
CV 112,Communication,3,0.95
CV 112,Problem Solving,4,0.47
CV 113,Leadership,5,0.79
CV 113,Innovation,1,0.86
CV 113,Teamwork,7,0.67
CV 113,Communication,10,0.87
CV 113,Problem Solving,5,0.57
CV 114,Leadership,6,0.65
CV 114,Innovation,4,0.72
CV 114,Teamwork,8,0.72
CV 114,Communication,2,0.95
CV 114,Problem Solving,10,0.97
CV 115,Leadership,2,0.79
CV 115,Innovation,1,0.78
CV 115,Teamwork,1,0.51
CV 115,Communication,9,0.89
CV 115,Problem Solving,4,0.66
CV 116,Leadership,9,0.95
CV 116,Innovation,2,0.97
CV 116,Teamwork,3,0.96
CV 116,Communication,10,0.52
CV 116,Problem Solving,9,0.85
CV 117,Leadership,8,0.91
CV 117,Innovation,2,0.64
CV 117,Teamwork,1,0.71
CV 117,Communication,10,0.94
CV 117,Problem Solving,5,0.51
CV 118,Leadership,7,0.99
CV 118,Innovation,7,0.51
CV 118,Teamwork,1,0.4
CV 118,Communication,6,0.89
CV 118,Problem Solving,6,0.96
CV 119,Leadership,6,0.65
CV 119,Innovation,7,0.74
CV 119,Teamwork,6,0.51
CV 119,Communication,9,0.97
CV 119,Problem Solving,9,0.97
CV 120,Leadership,3,0.83
CV 120,Innovation,6,0.86
CV 120,Teamwork,5,0.88
CV 120,Communication,3,0.49
CV 120,Problem Solving,10,0.99
CV 121,Leadership,7,0.68
CV 121,Innovation,10,0.88
CV 121,Teamwork,1,0.95
CV 121,Communication,2,0.79
CV 121,Problem Solving,6,0.64
CV 122,Leadership,10,0.95
CV 122,Innovation,8,0.56
CV 122,Teamwork,4,0.93
CV 122,Communication,7,0.5
CV 122,Problem Solving,1,0.6
CV 123,Leadership,7,0.49
CV 123,Innovation,8,0.99
CV 123,Teamwork,8,0.83
CV 123,Communication,1,0.54
CV 123,Problem Solving,7,0.61
CV 124,Leadership,7,0.99
CV 124,Innovation,2,0.75
CV 124,Teamwork,8,0.94
CV 124,Communication,3,0.46
CV 124,Problem Solving,5,0.57
CV 125,Leadership,9,0.58
CV 125,Innovation,2,0.63
CV 125,Teamwork,10,0.51
CV 125,Communication,9,0.64
CV 125,Problem Solving,8,0.71
CV 126,Leadership,10,0.9
CV 126,Innovation,7,0.8
CV 126,Teamwork,10,0.41
CV 126,Communication,10,0.73
CV 126,Problem Solving,4,0.77
CV 127,Leadership,4,0.56
CV 127,Innovation,4,1.0
CV 127,Teamwork,5,0.75
CV 127,Communication,3,0.64
CV 127,Problem Solving,10,0.71
CV 128,Leadership,10,0.79
CV 128,Innovation,8,0.52
CV 128,Teamwork,6,0.66
CV 128,Communication,2,0.95
CV 128,Problem Solving,6,0.81
CV 129,Leadership,5,0.84
CV 129,Innovation,8,0.58
CV 129,Teamwork,10,0.53
CV 129,Communication,1,0.75
CV 129,Problem Solving,5,0.95
CV 130,Leadership,7,0.6
CV 130,Innovation,9,0.69
CV 130,Teamwork,7,1.0
CV 130,Communication,9,0.84
CV 130,Problem Solving,6,0.95
CV 131,Leadership,9,0.76
CV 131,Innovation,6,0.89
CV 131,Teamwork,4,0.69
CV 131,Communication,1,0.63
CV 131,Problem Solving,1,0.48
CV 132,Leadership,6,0.76
CV 132,Innovation,3,0.87
CV 132,Teamwork,1,0.55
CV 132,Communication,7,0.89
CV 132,Problem Solving,2,0.66
CV 133,Leadership,4,0.62
CV 133,Innovation,4,0.63
CV 133,Teamwork,5,0.89
CV 133,Communication,7,0.51
CV 133,Problem Solving,5,0.65
CV 134,Leadership,5,0.64
CV 134,Innovation,8,0.53
CV 134,Teamwork,8,0.58
CV 134,Communication,5,0.54
CV 134,Problem Solving,5,0.56
CV 135,Leadership,6,0.41
CV 135,Innovation,7,0.78
CV 135,Teamwork,6,0.96
CV 135,Communication,9,0.96
CV 135,Problem Solving,2,0.51
CV 136,Leadership,4,0.76
CV 136,Innovation,2,0.92
CV 136,Teamwork,4,0.55
CV 136,Communication,4,0.74
CV 136,Problem Solving,3,0.51
CV 137,Leadership,4,0.56
CV 137,Innovation,9,0.7
CV 137,Teamwork,7,0.58
CV 137,Communication,5,0.99
CV 137,Problem Solving,10,0.85
CV 138,Leadership,1,0.5
CV 138,Innovation,7,0.61
CV 138,Teamwork,3,0.78
CV 138,Communication,5,0.46
CV 138,Problem Solving,5,0.68
CV 139,Leadership,4,0.71
CV 139,Innovation,7,0.91
CV 139,Teamwork,3,0.94
CV 139,Communication,2,0.79
CV 139,Problem Solving,6,0.73
CV 140,Leadership,7,0.5
CV 140,Innovation,10,0.45
CV 140,Teamwork,8,0.79
CV 140,Communication,10,0.88
CV 140,Problem Solving,5,0.45
CV 141,Leadership,1,0.54
CV 141,Innovation,9,0.97
CV 141,Teamwork,2,0.84
CV 141,Communication,4,0.7
CV 141,Problem Solving,6,0.44
CV 142,Leadership,2,0.95
CV 142,Innovation,8,0.91
CV 142,Teamwork,9,0.57
CV 142,Communication,2,0.66
CV 142,Problem Solving,5,0.98
CV 143,Leadership,2,0.9
CV 143,Innovation,4,0.92
CV 143,Teamwork,5,0.84
CV 143,Communication,3,0.84
CV 143,Problem Solving,2,0.86
CV 144,Leadership,1,0.58
CV 144,Innovation,7,0.97
CV 144,Teamwork,1,0.52
CV 144,Communication,3,0.54
CV 144,Problem Solving,6,0.86
CV 145,Leadership,4,0.99
CV 145,Innovation,10,0.96
CV 145,Teamwork,6,0.46
CV 145,Communication,10,0.49
CV 145,Problem Solving,7,0.87
CV 146,Leadership,3,0.98
CV 146,Innovation,8,0.71
CV 146,Teamwork,1,0.44
CV 146,Communication,1,0.46
CV 146,Problem Solving,5,0.97
CV 147,Leadership,3,0.67
CV 147,Innovation,4,0.97
CV 147,Teamwork,9,0.77
CV 147,Communication,5,0.42
CV 147,Problem Solving,1,0.91
CV 148,Leadership,9,0.84
CV 148,Innovation,5,0.97
CV 148,Teamwork,2,0.77
CV 148,Communication,1,0.72
CV 148,Problem Solving,9,0.83
CV 149,Leadership,2,0.46
CV 149,Innovation,7,0.71
CV 149,Teamwork,3,0.48
CV 149,Communication,9,0.57
CV 149,Problem Solving,5,0.72
CV 150,Leadership,10,0.59
CV 150,Innovation,4,0.48
CV 150,Teamwork,2,0.44
CV 150,Communication,2,0.75
CV 150,Problem Solving,6,0.89
CV 151,Leadership,8,0.44
CV 151,Innovation,9,0.96
CV 151,Teamwork,10,0.82
CV 151,Communication,5,0.75
CV 151,Problem Solving,1,0.89
CV 152,Leadership,3,0.66
CV 152,Innovation,4,0.63
CV 152,Teamwork,4,0.5
CV 152,Communication,4,0.71
CV 152,Problem Solving,6,0.88
CV 153,Leadership,5,0.87
CV 153,Innovation,3,0.68
CV 153,Teamwork,5,0.64
CV 153,Communication,2,0.68
CV 153,Problem Solving,8,0.88
CV 154,Leadership,10,0.56
CV 154,Innovation,5,0.82
CV 154,Teamwork,4,0.6
CV 154,Communication,3,0.84
CV 154,Problem Solving,6,0.46
CV 155,Leadership,8,0.95
CV 155,Innovation,10,0.72
CV 155,Teamwork,1,0.54
CV 155,Communication,3,0.73
CV 155,Problem Solving,5,0.55
CV 156,Leadership,9,0.75
CV 156,Innovation,3,0.95
CV 156,Teamwork,7,0.67
CV 156,Communication,2,0.59
CV 156,Problem Solving,4,0.54
CV 157,Leadership,2,0.57
CV 157,Innovation,1,0.75
CV 157,Teamwork,3,0.93
CV 157,Communication,8,0.69
CV 157,Problem Solving,6,0.78
CV 158,Leadership,6,0.79
CV 158,Innovation,9,0.45
CV 158,Teamwork,8,0.43
CV 158,Communication,3,0.99
CV 158,Problem Solving,5,0.82
CV 159,Leadership,3,0.67
CV 159,Innovation,9,0.5
CV 159,Teamwork,1,0.62
CV 159,Communication,10,0.55
CV 159,Problem Solving,3,0.8
CV 160,Leadership,1,1.0
CV 160,Innovation,8,0.42
CV 160,Teamwork,4,0.78
CV 160,Communication,3,0.57
CV 160,Problem Solving,9,0.88
CV 161,Leadership,3,0.72
CV 161,Innovation,7,0.98
CV 161,Teamwork,6,0.71
CV 161,Communication,1,0.46
CV 161,Problem Solving,3,0.97
CV 162,Leadership,7,0.48
CV 162,Innovation,10,0.49
CV 162,Teamwork,9,0.59
CV 162,Communication,4,0.84
CV 162,Problem Solving,6,0.82
CV 163,Leadership,8,0.99
CV 163,Innovation,5,0.51
CV 163,Teamwork,5,0.52
CV 163,Communication,10,0.41
CV 163,Problem Solving,9,0.71
CV 164,Leadership,3,0.58
CV 164,Innovation,6,0.6
CV 164,Teamwork,4,0.64
CV 164,Communication,4,0.71
CV 164,Problem Solving,2,0.74
CV 165,Leadership,5,0.72
CV 165,Innovation,4,0.71
CV 165,Teamwork,7,0.84
CV 165,Communication,6,0.86
CV 165,Problem Solving,10,0.42
CV 166,Leadership,10,0.95
CV 166,Innovation,4,0.54
CV 166,Teamwork,8,0.81
CV 166,Communication,10,0.7
CV 166,Problem Solving,8,0.7
CV 167,Leadership,10,0.64
CV 167,Innovation,3,0.69
CV 167,Teamwork,10,0.67
CV 167,Communication,7,0.81
CV 167,Problem Solving,5,0.64
CV 168,Leadership,2,0.87
CV 168,Innovation,9,0.74
CV 168,Teamwork,6,0.66
CV 168,Communication,8,0.46
CV 168,Problem Solving,5,0.65
CV 169,Leadership,4,0.93
CV 169,Innovation,8,0.57
CV 169,Teamwork,1,0.8
CV 169,Communication,10,0.64
CV 169,Problem Solving,10,0.58
CV 170,Leadership,2,0.92
CV 170,Innovation,6,0.86
CV 170,Teamwork,8,0.78
CV 170,Communication,1,0.59
CV 170,Problem Solving,8,0.92
